latitude,longitude,n
-23,-43.75,1
-23,-42.75,1
-23,-41.75,1
-23,-39.75,1
-22,-41.75,1
-22,-40.75,1
-22,-38.75,2
-22,-36.75,1
-22,-34.75,1
-21,-37.75,1
-21,-26.75,1
-20,-42.75,1
-20,-38.75,1
-20,-32.75,1
-20,-31.75,1
-20,-28.75,1
-20,-24.25,1
-19,-41.75,1
-19,-40.75,1
-19,-33.75,2
-19,-30.75,2
-19,-29.75,1
-19,-28.75,1
-19,-24.75,1
-18,-40.75,1
-18,-29.75,1
-18,-28.75,3
-18,-26.75,1
-17,-28.75,2
-17,-26.75,1
-17,-25.75,1
-16,-39.75,1
-16,-32.75,1
-16,-27.75,3
-16,-26.75,4
-16,-25.75,1
-16,-24.75,1
-16,-23.75,2
-15,-40.75,2
-15,-34.75,1
-15,-26.75,2
-15,-25.75,5
-15,-24.75,2
-15,-23.75,1
-15,-22.75,2
-15,-8.25,1
-14,-42.75,3
-14,-40.75,1
-14,-34.75,1
-14,-31.75,1
-14,-30.75,1
-14,-25.75,2
-14,-23.75,3
-13,-39.75,1
-13,-38.75,1
-13,-37.75,2
-13,-36.75,1
-13,-35.75,1
-13,-33.75,1
-13,-29.75,1
-13,-28.75,1
-13,-26.75,1
-13,-24.75,1
-13,-23.75,1
-13,-22.75,2
-13,-21.75,1
-12,-40.75,1
-12,-23.75,1
-12,-22.75,2
-12,-20.75,1
-11,-42.75,1
-11,-41.75,1
-11,-40.75,1
-11,-32.75,1
-11,-31.75,1
-11,-30.75,1
-11,-29.75,1
-11,-27.75,1
-11,-26.75,1
-11,-23.75,3
-11,-22.75,2
-11,-19.75,1
-10,-40.75,1
-10,-36.75,2
-10,-31.75,1
-10,-28.75,2
-10,-23.75,1
-10,-22.75,2
-10,-21.75,2
-10,-20.75,1
-10,-18.75,1
-9,-40.75,1
-9,-39.75,1
-9,-34.75,1
-9,-29.75,1
-9,-28.75,1
-9,-21.75,1
-9,-20.75,1
-8,-41.75,1
-8,-39.75,2
-8,-38.75,1
-8,-33.75,2
-8,-32.75,1
-8,-29.75,3
-8,-28.75,3
